student_id,age,gender,socioeconomic_status,commute_distance,attendance_rate,previous_grades,current_gpa,financial_aid,part_time_job,extracurricular_activities,next_semester_dropout
1,24,Female,High,24.34541233084579,99.47255654825283,85.48242526067298,2.938929800972144,1,1,0,0
2,21,Female,Low,12.075420892983987,94.47596555218816,85.60033269772592,2.9420264031192733,0,0,1,0
3,22,Female,Low,32.383326066616355,68.57336313121884,58.75588149449801,1.3850497798440844,1,0,0,1
4,24,Male,Low,48.97007464356564,59.75832586093252,64.64095798061697,2.9505614993369598,1,0,1,0
5,20,Female,Medium,30.571161706125555,74.46962687032944,52.581416645812055,3.9474477418037432,0,1,0,0
6,22,Female,Medium,18.532890121563895,87.0820725918021,98.59366139937426,3.735455708618341,0,1,0,0
7,22,Male,Medium,32.743054853535895,74.62845353766488,78.73615462350469,2.3173919824145517,0,1,0,0
8,24,Male,Low,7.023113244803991,74.15904316568343,96.07263284293093,1.119843919858283,1,0,0,1
9,19,Other,Medium,44.54429493300454,91.91152105409003,58.20313261774799,2.0868804700006143,1,0,1,0
10,20,Female,Medium,25.65111358821198,68.07018895335932,86.91345477981338,3.4791709348016657,1,0,1,0
11,24,Male,Medium,23.01813735994246,92.98973374058228,85.95151863308452,3.104497304395498,0,0,0,0
12,20,Female,High,29.70737463422244,70.34024004758618,81.4993391119925,2.378030966781869,1,0,0,0
13,20,Male,Low,31.61440927668072,66.41165528391697,97.93833851600803,1.1653046054764933,0,0,0,1
14,22,Male,Medium,4.517014505099138,72.69949555998495,63.613320166378934,2.2806841834699076,0,0,1,1
15,21,Male,Medium,34.44824383994672,88.12234793374341,47.843039415385434,2.4070748191536504,0,1,1,1
16,20,Male,Medium,12.85465233546095,56.30010139319971,80.30253155464365,3.7856665986824076,0,0,1,0
17,23,Male,Medium,35.9836789928229,59.82096079360087,83.75858802863237,2.9232583107464785,1,0,1,0
18,22,Male,Medium,41.30420492482564,97.5722412831546,74.50363440752888,1.9349587499639467,0,0,1,0
19,19,Female,High,40.39396687007349,58.77458136906787,52.40907358800378,2.5759547933521643,0,1,0,1
20,21,Male,Low,28.072547402986565,78.38636589655273,70.26735650016133,1.19816592346648,0,1,0,1
21,23,Male,Low,26.488324723226807,78.96572333309689,58.731384194147765,3.9177047069492104,1,1,1,0
22,23,Female,Medium,8.000922105631174,74.48122310251225,65.64799169000135,2.080179705792178,1,0,1,0
23,19,Male,Medium,38.991961369753646,82.23726242884092,78.71311455067983,2.433602064739407,0,1,1,0
24,21,Female,Low,14.299059641889004,61.49133628988092,84.71288456145007,2.0658519227107677,0,0,1,1
25,22,Male,Low,25.33807571807938,77.63311338883742,53.933481454080585,3.0475351903486003,0,0,0,0
26,18,Male,Low,14.929430553448318,68.60866276234486,64.3195216388172,2.986696474988779,1,1,1,0
